id,xcoord,ycoord,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
92,-2.587,51.1663,-1,Glastonbury Festival 1993,"Pilton, UK",,,1993-06-25,1993,6,25,null
93,-2.1299286,52.586216,4000,"Smashing Pumpkins with The Verve at The Civic Hall (September 11, 1993)","Wolverhampton, UK",,,1993-09-11,1993,9,11,null
94,0.1194611,52.20439,1800,"Smashing Pumpkins and The Verve at Corn Exchange Cambridge (September 13, 1993)","Cambridge, UK",,,1993-09-13,1993,9,13,null
95,-1.5473124,53.8018,2700,"Smashing Pumpkins and The Verve at O2 Academy Leeds (September 14, 1993)","Leeds, UK",,,1993-09-14,1993,9,14,null
96,-2.23149,53.464108,1500,"Smashing Pumpkins and The Verve at Manchester Academy (September 15, 1993)","Manchester, UK",,,1993-09-15,1993,9,15,null
97,-2.9813228,53.407375,-1,"Smashing Pumpkins and The Verve at Royal Court Theatre (September 17, 1993)","Liverpool, UK",,,1993-09-17,1993,9,17,null
98,-4.2369184,55.855057,1900,"Smashing Pumpkins and The Verve at Barrowland Ballroom (September 18, 1993)","Glasgow, UK",,,1993-09-18,1993,9,18,null
99,-1.259,51.745,-1,"The Verve at The Venue (September 20, 1993)","Oxford, UK",,,1993-09-20,1993,9,20,null
100,-1.1535941,52.955887,2000,"Smashing Pumpkins and The Verve at Rock City (September 21, 1993)","Nottingham, UK",,,1993-09-21,1993,9,21,null
101,-3.1771,51.478,-1,"Smashing Pumpkins and The Verve at Cardiff University (September 22, 1993)","Cardiff, UK",,,1993-09-22,1993,9,22,null
102,-1.4055136,50.907608,1749,"Smashing Pumpkins and The Verve at Southampton Guildhall (September 23, 1993)","Southampton, UK",,,1993-09-23,1993,9,23,null
103,-0.1148897,51.465122,4921,"Smashing Pumpkins with The Verve and Liz Phair at O2 Academy Brixton (September 25, 1993)","London, UK",,,1993-09-25,1993,9,25,null
104,-0.1289811,51.51288,-1,"The Verve at Astoria 2 (September 28, 1993)","London, UK",,,1993-09-28,1993,9,28,null
105,-2.1299286,52.586216,1200,"The Verve and Oasis at Wulfrun Hall (December 8, 1993)","Wolverhampton, UK",,,1993-12-08,1993,12,8,null
106,-2.23149,53.464108,450,"The Verve at Manchester Academy 3 (December 9, 1993)","Manchester, UK",,,1993-12-09,1993,12,9,null
107,-4.2570133,55.85869,-1,"The Verve and Oasis at Cathouse (December 10, 1993)","Glasgow, UK",,,1993-12-10,1993,12,10,null
108,-2.701,53.757,-1,"The Verve and Oasis at Mill (December 11, 1993)","Preston, UK",,,1993-12-11,1993,12,11,null
109,-1.6038477,54.972137,-1,"The Verve and Oasis at Riverside 1 (December 13, 1993)","Newcastle Upon Tyne, UK",,,1993-12-13,1993,12,13,null
110,-1.7598625,53.789955,-1,"The Verve at Bradford University Union, Queens Hall (December 14, 1993)","Bradford, UK",,,1993-12-14,1993,12,14,null
111,-0.1289811,51.51288,-1,"The Verve at Astoria 2 (December 17, 1993)","London, UK",,,1993-12-17,1993,12,17,null
112,-1.4648403,53.376324,900,"The Verve at The Leadmill (December 18, 1993)","Sheffield, UK",,,1993-12-18,1993,12,18,null
113,-0.1700149,51.462868,-1,"The Verve at The Clapham Grand (August 12, 1994)","London, UK",,,1994-08-12,1994,8,12,null
114,-0.9831782,51.46432,-1,Reading Festival 1994,"Reading, UK",,,1994-08-26,1994,8,26,null
115,0.6910414,51.5372,-1,"Oasis with The Verve at Cliffs Pavilion (April 17, 1995)","Westcliff-on-sea, UK",,,1995-04-17,1995,4,17,null
116,-1.5398636,53.798473,-1,"The Verve at Duchess of York (April 18, 1995)","Leeds, UK",,,1995-04-18,1995,4,18,null
117,-1.8890387,52.451,-1,"The Verve at The Jug of Ale (April 19, 1995)","Birmingham, UK",,,1995-04-19,1995,4,19,null
118,-2.2338095,53.481056,200,"The Verve at The Roadhouse (June 6, 1995)","Manchester, UK",,,1995-06-06,1995,6,6,null
119,-2.9868503,53.40777,-1,"The Verve at Lomax 1 (June 7, 1995)","Liverpool, UK",,,1995-06-07,1995,6,7,null
120,-0.128,51.5078,-1,"The Verve at Raw Club (June 8, 1995)","London, UK",,,1995-06-08,1995,6,8,null
121,-2.54677,51.1897,-1,Glastonbury Festival 1995,"Shepton Mallet, UK",,,1995-06-23,1995,6,23,null
