"OBJECTID,N,9,0","id,N,9,0","xcoord,N,19,11","ycoord,N,19,11","venueSize,N,9,0","gigName,C,254","locationNa,C,254","billing,C,254","headlineAr,C,254","date,D","year,N,9,0","month,N,9,0","day,N,9,0","time,C,254",XBNG,YBNG
136,135,-2.9771059,53.409126,-1,"Arctic Monkeys with The Little Flames at O2 Academy Liverpool (April 14, 2007)","Liverpool, UK",,,14/04/07,2007,4,14,null,335143.9921,390701.8349
137,136,-1.6169438,54.97002,-1,"Arctic Monkeys at O2 Academy 2 Newcastle (April 16, 2007)","Newcastle Upon Tyne, UK",,,16/04/07,2007,4,16,null,424620.5244,564000.3655
138,137,-4.2369184,55.855057,1900,"Arctic Monkeys with The Little Flames and GAS CLUB at Barrowland Ballroom (April 18, 2007)","Glasgow, UK",,,18/04/07,2007,4,18,null,260074.0055,664692.196
139,138,-1.8998971,52.474327,3000,"Arctic Monkeys with The Little Flames and GAS CLUB at O2 Academy Birmingham (April 20, 2007)","Birmingham, UK",,,20/04/07,2007,4,20,null,406896.471,286270.8479
140,139,-3.1726308,51.478806,7500,"Arctic Monkeys with Rascals and Reverend and The Makers at Motorpoint Arena Cardiff (June 19, 2007)","Cardiff, UK",,,19/06/07,2007,6,19,null,318662.2347,176190.9809
141,140,-2.587,51.1663,7500,Glastonbury Festival 2007,"Pilton, UK",,,20/06/07,2007,6,20,null,359053.3059,140947.8021
142,141,-3.1726308,51.478806,7500,"Arctic Monkeys with Reverend and The Makers at Motorpoint Arena Cardiff (June 20, 2007)","Cardiff, UK",,,20/06/07,2007,6,20,null,318662.2347,176190.9809
143,142,-3.4229,56.20613,-1,T In The Park 2007,"Kinross, UK",,,06/07/07,2007,7,6,null,311829.1492,702415.1027
144,143,-2.235,53.477,-1,"Arctic Monkeys with Supergrass, The Coral, Amy Winehouse, and 1 moreà at Old Trafford Cricket Ground (July 28, 2007)","Manchester, UK",,,28/07/07,2007,7,28,15:00:00,384500.4072,397833.8603
145,144,-2.235,53.477,-1,"Arctic Monkeys with Supergrass, The Coral, Amy Winehouse, and 1 moreà at Old Trafford Cricket Ground (July 29, 2007)","Manchester, UK",,,29/07/07,2007,7,29,15:00:00,384500.4072,397833.8603
146,145,-0.1331833,51.590786,10250,"Arctic Monkeys with The Horrors and Rascals at Alexandra Palace (December 8, 2007)","London, UK",,,08/12/07,2007,12,8,19:00:00,529418.5127,189643.4258
